분절,record_id,seg_idx,인코더,참조,rho
10,100,10,enc3,em,0.37197016208459266
10,100,10,enc4,x_clean,0.6192382759113759
10,100,10,enc4,bw,-0.059929465425751664
10,100,10,enc4,ma,-0.020797526500516274
10,100,10,enc4,em,-0.025160225466102398
10,100,10,enc5,x_clean,0.04254064044675423
10,100,10,enc5,bw,-0.26103115573206565
10,100,10,enc5,ma,-0.26786490495463217
10,100,10,enc5,em,-0.30616138199000975
10,100,10,enc6,x_clean,0.0250703321552437
10,100,10,enc6,bw,0.5845633657668065
10,100,10,enc6,ma,0.5660524518690361
10,100,10,enc6,em,0.28777687758929416
10,100,10,enc7,x_clean,-0.017299220462570597
10,100,10,enc7,bw,0.7884499114826816
10,100,10,enc7,ma,0.36233226942454105
10,100,10,enc7,em,0.3173276453129348
10,100,10,enc8,x_clean,0.017996026606645687
10,100,10,enc8,bw,0.17831090695751955
10,100,10,enc8,ma,0.5009559680030624
10,100,10,enc8,em,0.39727242713412037
11,100,11,enc1,x_clean,0.04923335488293904
11,100,11,enc1,bw,-0.22436876701565722
11,100,11,enc1,ma,-0.5102046286795252
11,100,11,enc1,em,0.30637668558604886
11,100,11,enc2,x_clean,0.01236400669870969
11,100,11,enc2,bw,0.49373924860614693
11,100,11,enc2,ma,-0.09270977764135428
11,100,11,enc2,em,0.17457997511588064
11,100,11,enc3,x_clean,-0.030979669698716385
11,100,11,enc3,bw,0.8571303705592186
11,100,11,enc3,ma,0.06215668797151303
11,100,11,enc3,em,0.1755906500687861
11,100,11,enc4,x_clean,0.5681884648384404
11,100,11,enc4,bw,-0.057284789497226735
11,100,11,enc4,ma,0.07063799671780889
11,100,11,enc4,em,0.04260316705068669
11,100,11,enc5,x_clean,0.06546880923850723
11,100,11,enc5,bw,0.1825571443895119
11,100,11,enc5,ma,-0.3576296442644055
11,100,11,enc5,em,0.3161169219843296
11,100,11,enc6,x_clean,0.01080249211410103
11,100,11,enc6,bw,-0.24052632415144784
11,100,11,enc6,ma,0.09083967092515426
11,100,11,enc6,em,0.012822321798368713
11,100,11,enc7,x_clean,0.1007872665510066
11,100,11,enc7,bw,-0.6066368178307974
11,100,11,enc7,ma,-0.5546631802775002
11,100,11,enc7,em,0.2848594141260494
11,100,11,enc8,x_clean,0.13361192358933943
11,100,11,enc8,bw,-0.08314871651536243
11,100,11,enc8,ma,0.2470027207206841
11,100,11,enc8,em,-0.11509281194665892
12,100,12,enc1,x_clean,0.07465914279540695
12,100,12,enc1,bw,0.20159969519996435
12,100,12,enc1,ma,0.00955905993738721
12,100,12,enc1,em,-0.32024570260507945
12,100,12,enc2,x_clean,0.022025103635988204
12,100,12,enc2,bw,0.2552738624521993
12,100,12,enc2,ma,0.049848879738336474
12,100,12,enc2,em,0.04490869672667131
12,100,12,enc3,x_clean,0.05892692963012138
12,100,12,enc3,bw,0.5038626677377623
12,100,12,enc3,ma,0.12836259543260267
12,100,12,enc3,em,0.6032560259371511
12,100,12,enc4,x_clean,0.6778702517404515
12,100,12,enc4,bw,0.1270440772564173
12,100,12,enc4,ma,-0.07483813716241637
12,100,12,enc4,em,-0.049325522302589506
12,100,12,enc5,x_clean,-0.0029519724733674114
12,100,12,enc5,bw,0.5716641266772424
12,100,12,enc5,ma,-0.3352613877304782
12,100,12,enc5,em,-0.023575629815321218
12,100,12,enc6,x_clean,0.00399739378911111
12,100,12,enc6,bw,-0.30673004632209067
12,100,12,enc6,ma,0.6036109247921532
12,100,12,enc6,em,0.03384047482751818
12,100,12,enc7,x_clean,0.06577392491221931
12,100,12,enc7,bw,0.7320144666048046
12,100,12,enc7,ma,-0.420209778533553
12,100,12,enc7,em,0.09764724738772818
12,100,12,enc8,x_clean,0.0667059394420729
12,100,12,enc8,bw,0.26214076775173834
12,100,12,enc8,ma,-0.26137630333900713
12,100,12,enc8,em,0.5164751603750432
13,100,13,enc1,x_clean,0.015245752031963449
13,100,13,enc1,bw,0.2161510871927095
13,100,13,enc1,ma,0.06756378362803438
13,100,13,enc1,em,0.23697825686761012
13,100,13,enc2,x_clean,0.018845087237114262
13,100,13,enc2,bw,0.674806797111514
13,100,13,enc2,ma,0.6961068176936926
13,100,13,enc2,em,0.12582228260826486
13,100,13,enc3,x_clean,0.08292234069867643
13,100,13,enc3,bw,0.716922692329954
13,100,13,enc3,ma,0.8461487377195409
13,100,13,enc3,em,0.11005340997659337
13,100,13,enc4,x_clean,0.7037160398877146
13,100,13,enc4,bw,-0.17294407762111041
13,100,13,enc4,ma,-0.1041884285419306
13,100,13,enc4,em,0.07478600496594531
13,100,13,enc5,x_clean,-0.08545353707542572
13,100,13,enc5,bw,-0.23947879835542582
13,100,13,enc5,ma,-0.46139303085587346
13,100,13,enc5,em,0.189149636110898
13,100,13,enc6,x_clean,0.041019052625910345
13,100,13,enc6,bw,0.3482593422705246
13,100,13,enc6,ma,0.2582848374205692
13,100,13,enc6,em,0.34341618977567184
13,100,13,enc7,x_clean,-0.04870476852289132
13,100,13,enc7,bw,0.48504671544267725
13,100,13,enc7,ma,-0.0074170920268597975
13,100,13,enc7,em,0.09644547773923501
13,100,13,enc8,x_clean,0.08886801509377418
13,100,13,enc8,bw,0.20434326146723836
13,100,13,enc8,ma,0.4712009578097271
13,100,13,enc8,em,0.16990191658992967
14,100,14,enc1,x_clean,-0.018913759941987487
14,100,14,enc1,bw,0.20014444019219235
14,100,14,enc1,ma,-0.08037451957676169
14,100,14,enc1,em,0.27602472183839866
14,100,14,enc2,x_clean,0.06717213624672272
14,100,14,enc2,bw,0.5585942720827346
14,100,14,enc2,ma,0.25583566680123276
14,100,14,enc2,em,0.39633001607231133
